Name,CHEMBL ID,canonical_smiles,selfies,MW,pIC50,logBB,logCmax,logThalf,SAS,QED,PAINS,Fitness
LY2811376,CHEMBL2333941,C[C@@]1(c2cc(-c3cncnc3)c(F)cc2F)CCSC(N)=N1,[C][C@@][Branch2][Ring1][#Branch1][C][=C][C][Branch1][=Branch2][C][=C][N][=C][N][=C][Ring1][=Branch1][=C][Branch1][C][F][C][=C][Ring1][=N][F][C][C][S][C][Branch1][C][N][=N][Ring2][Ring1][Branch1],320.368,6.6850095,-0.33037755,3.4370222,0.5813228,3.377795410736388,0.9233400368507458,0,10.37297695
LY2886721,CHEMBL2396989,NC1=N[C@@]2(c3cc(NC(=O)c4ccc(F)cn4)ccc3F)COC[C@H]2CS1,[N][C][=N][C@@][Branch2][Ring1][N][C][=C][C][Branch1][P][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][F][C][=N][Ring1][#Branch1][=C][C][=C][Ring1][S][F][C][O][C][C@H1][Ring2][Ring1][=Branch1][C][S][Ring2][Ring1][#Branch2],390.4150000000001,7.4882464,-0.8453293,2.805152,0.648699,3.58358656028103,0.8406613354951707,0,10.0967681
RO5508887,,CC1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)OCC1(F)F,[C][C][Branch2][Ring1][=C][C][=C][C][Branch2][Ring1][C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][C][#N][C][=N][Ring1][Branch2][=C][C][=C][Ring1][P][F][N][=C][Branch1][C][N][O][C][C][Ring2][Ring1][=Branch2][Branch1][C][F][F],389.33700000000016,7.213983,-0.6102788,2.665713,-0.45615673,3.331498028169434,0.837535628770857,0,8.81326047
BI 1181181,,C[C@@H]1C[C@@]2(Cc3ccc(C#N)cc3[C@]23N=C(N)N(CC(C)(C)F)C3=O)C[C@H](C)[C@H]1O,[C][C@@H1][C][C@@][Branch2][Ring2][=Branch1][C][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][C@][Ring1][O][N][=C][Branch1][C][N][N][Branch1][#Branch2][C][C][Branch1][C][C][Branch1][C][C][F][C][Ring1][O][=O][C][C@H1][Branch1][C][C][C@H1][Ring2][Ring1][N][O],412.5090000000001,8.198924,-0.7477032,2.1374495,0.8483348,5.436487244932512,0.7793126555235211,0,10.4370051
Atabecestat,CHEMBL3916243,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C=CSC(N)=N1,[C][C@@][Branch2][Ring1][=C][C][=C][C][Branch2][Ring1][C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][C][#N][C][=N][Ring1][Branch2][=C][C][=C][Ring1][P][F][C][=C][S][C][Branch1][C][N][=N][Ring2][Ring1][=Branch2],367.4090000000001,7.328012,-0.117490426,2.985753,0.29209548,3.38263414099419,0.8671619904066763,0,10.488370054
Lanabecestat,CHEMBL3989948,CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(N=C(C)C(N)=N2)[C@]2(CC[C@H](OC)CC2)C3)c1,[C][C][#C][C][=C][N][=C][C][Branch2][Ring2][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C@@][Branch1][=N][N][=C][Branch1][C][C][C][Branch1][C][N][=N][Ring1][#Branch1][C@][Branch1][N][C][C][C@H1][Branch1][Ring1][O][C][C][C][Ring1][Branch2][C][Ring2][Ring1][Ring1][=C][Ring2][Ring1][N],412.53700000000026,7.918055,0.41088504,1.8565298,0.19684559,4.534417708022966,0.7502082679730778,0,10.38231543
Verubecestat,CHEMBL3301601,CN1C(N)=N[C@](C)(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)CS1(=O)=O,[C][N][C][Branch1][C][N][=N][C@][Branch1][C][C][Branch2][Ring1][N][C][=C][C][Branch1][P][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][F][C][=N][Ring1][#Branch1][=C][C][=C][Ring1][S][F][C][S][Ring2][Ring1][=Branch2][=Branch1][C][=O][=O],409.4180000000001,7.641962,-0.37424985,3.0295038,0.35981166,3.2460397653795923,0.7949558196328441,0,10.65702761
Elenbecestat,CHEMBL4204869,C[C@H]1OC[C@]2(c3cc(NC(=O)c4cnc(C(F)F)cn4)ccc3F)N=C(N)SC[C@H]12,[C][C@H1][O][C][C@][Branch2][Ring2][C][C][=C][C][Branch2][Ring1][Branch1][N][C][=Branch1][C][=O][C][=C][N][=C][Branch1][=Branch1][C][Branch1][C][F][F][C][=N][Ring1][=Branch2][=C][C][=C][Ring2][Ring1][C][F][N][=C][Branch1][C][N][S][C][C@H1][Ring2][Ring1][=N][Ring2][Ring1][#Branch2],437.4470000000001,7.871294,-0.13616057,2.6273162,-0.074557915,4.099182372379106,0.7621903864086206,0,10.287891715
Umibecestat,,C[C@@]1(c2nc(NC(=O)c3ncc(C(F)(F)F)cc3Cl)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1,[C][C@@][Branch2][Ring2][=Branch1][C][=N][C][Branch2][Ring1][=Branch2][N][C][=Branch1][C][=O][C][=N][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][Cl][=C][C][=C][Ring2][Ring1][Ring2][F][C][O][C@@][Branch1][C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][Branch1][C][N][=N][Ring2][Ring1][P],513.8010000000002,7.618131,-0.4790905,3.6199298,0.66665953,4.054933598957935,0.5899074262129201,0,11.42562983
LY3202626,,COc1cnc(C(=O)Nc2ccc(F)c([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(N)=N4)c2)cn1,[C][O][C][=C][N][=C][Branch2][Branch1][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][F][C][Branch2][Ring1][=C][C@][C][N][Branch1][N][C][=N][C][=C][Branch1][C][F][C][=N][Ring1][#Branch1][C][C@H1][Ring1][N][C][S][C][Branch1][C][N][=N][Ring1][P][=C][Ring2][Ring1][Branch2][C][=N][Ring2][Ring1][P],498.5190000000002,9.250839,-0.37630016,3.483238,0.026172072,3.9244233385550142,0.543348953748751,0,12.383948912
PF-06751979,,CC1CC2CSC(NC(=O)c3ccccc3)=NC2(c2nc(NC(=O)c3ccc(OC(F)F)cn3)cs2)CO1,[C][C][C][C][C][S][C][Branch1][=C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][Ring1][#C][Branch2][Ring1][P][C][=N][C][Branch2][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][#Branch1][O][C][Branch1][C][F][F][C][=N][Ring1][#Branch2][=C][S][Ring2][Ring1][C][C][O][Ring2][Ring2][Branch1],559.6200000000001,6.590001,-0.004897373,5.2108455,-0.2435614,4.191221290094631,0.455611131750024,0,11.552387727
